character,dialog
Harry Potter,Really?  Well... brilliant.  I'll head there straight away.
Harry Potter,"Um, sorry, sir, but I haven't got my book yet -- nor's Ron.  You see --"
Harry Potter,Crush it.  Don't cut it.
Harry Potter,No.  Really --
Harry Potter,"Fine, sir."
Harry Potter,"I think he overestimates my abilities, sir."
Harry Potter,Definitely.
Harry Potter,Sir?
Harry Potter,No!  I mean... she's brilliant. And we're friends.  But... no.
Harry Potter,"Did you know, sir?  Then?"
Harry Potter,"You didn't bring Professor Slughorn back simply to teach Potions, did you, sir?"
Harry Potter,You said Professor Slughorn would try to collect me.
Harry Potter,Do you want me to let him?
Harry Potter,All right!  Queue up!  Excuse me...
Harry Potter,Thanks.  All right.  This morning I'll be putting you all through a few drills to assess your strengths.  But know this:  Just because you made the team last year does not guarantee you a spot this year.  Is that clear?
Harry Potter,"All right.  Cormac.  Ron.  It's down to you two for Keeper.  We'll decide it with a shootout. Demelza, you'll bring the Quaffle up against Cormac.  Ginny, you'll take on Ron."
Harry Potter,Quiet!  I'm Captain.  We do it my way.  Now line up.  On three. One.  Two... Three!
Harry Potter,"C'mon, Ron..."
Harry Potter,Ever heard of this spell?
Harry Potter,No.
Harry Potter,It's... old.  The binding is fragile.
Harry Potter,"I didn't say I wasn't curious. And, by the way, I don't sleep with it."
Harry Potter,The library.
Harry Potter,And?
Harry Potter,Good.  That settles it then.
Harry Potter,Who's up for a Butterbeer?
Harry Potter,No.  Over here.
Harry Potter,"No, no.  Sit next to me."
Harry Potter,"Hello, sir.  Wonderful to see you."
Harry Potter,"So what brings you here, sir?"
Harry Potter,"I'd consider it an honor, sir."
Harry Potter,Dumbledore asked me to... get to know him.
Harry Potter,Dunno.  But it must be important. Otherwise Dumbledore wouldn't ask.
Harry Potter,There's no time!
Harry Potter,"She was cursed, wasn't she?  I know Katie.  Off the Quidditch pitch she wouldn't hurt a fly.  If she was bringing that to someone, she wasn't doing it knowingly."
Harry Potter,It was Malfoy.
Harry Potter,I... just... know.
Harry Potter,What does she see in him?
Harry Potter,You called him a slick git not five hours ago.
Harry Potter,I suppose.
Harry Potter,I don't know.  She's smart. Funny.  Attractive...
Harry Potter,You know.  She's... got nice skin.
Harry Potter,"Well, no.  I mean... I'm just saying it could be a contributing factor."
Harry Potter,"I've never really thought about it.  But I suppose, yeah.  Very nice."
Harry Potter,I think I'll be going to sleep now.
Harry Potter,What?
Harry Potter,"Sorry, sir, I was just admiring your hourglass."
Harry Potter,I think I'll be going.
Harry Potter,"The shelf, sir?"
Harry Potter,"I don't really know how to answer that, sir."
Harry Potter,"Did Voldemort ever make the shelf, sir?"
Harry Potter,"You knew him, didn't you, sir? Tom Riddle.  You were his teacher."
Harry Potter,What was he like?
Harry Potter,"I'm sorry, sir.  Forgive me.  He killed my parents, you see..."
Harry Potter,Have it your way.  Juice?
Harry Potter,Dunno what you're talking about.
Harry Potter,Yep.  Apparently it's his lucky day.
Harry Potter,"Yeah.  I suppose I could've just used, I dunno... a Confundus charm?"
Harry Potter,Ah.  Well... they're really good.
Harry Potter,It feels like this.
Harry Potter,Have you?
Harry Potter,"I just thought, you know, since neither one of us can take who we'd really like... maybe we'd go together.  As friends."
Harry Potter,So who are you taking?
Harry Potter,Really...?
Harry Potter,But I am the Chosen One.
Harry Potter,Okay.  Kidding.  I'll just ask someone I like.  Someone cool.
Harry Potter,Neville...?
Harry Potter,What're you doing?
Harry Potter,And what's happened to you?
Harry Potter,Cormac!  That's who you invited!
Harry Potter,I think she went to powder her nose.
Harry Potter,Dragon balls.
Harry Potter,"I think I should rejoin the party, sir.  My date..."
Harry Potter,A message...?
Harry Potter,Traveling?  Where?
Harry Potter,Positive.  Why?
Harry Potter,"I'd worked that much out for myself, funnily enough."
Harry Potter,Lovely.
Harry Potter,I'll take your word for it.
Harry Potter,So what happens?  If you break an Unbreakable Vow?
Harry Potter,"Draco's plotting something, I know it, something to do with Voldemort.  He's been given a task or a mission -- and Snape was offering to help."
Harry Potter,I know it sounds mad --
Harry Potter,That's not what it sounded like.
Harry Potter,But Dumbledore can make mistakes. He's said it himself --
Harry Potter,I'm not --
Harry Potter,It's good.
Harry Potter,"Are you alright, Mr. Weasley?"
Harry Potter,Did you get my owl?
Harry Potter,Go on.
Harry Potter,A Vanishing Cabinet?
Harry Potter,What happened to it?  The one at Borgin & Burkes?
Harry Potter,Soon.
Harry Potter,"I know who I am, Hermione, alright?"
Harry Potter,"If Dumbledore's traveling places, it's news to the Ministry.  But get this:  that night at Borgin & Burkes?  It seems Draco was looking at a Vanishing Cabinet."
Harry Potter,You tell me.
Harry Potter,Who could tell the difference?
Harry Potter,I don't understand -- what happened?
Harry Potter,But why would he tamper with his own memory?
Harry Potter,Why?
Harry Potter,"I don't know him that well, sir --"
Harry Potter,"Well, sir, I wondered if I might ask you something."
Harry Potter,"Well, you see, the other day I was in the Restricted Section -- in the library -- and I stumbled upon something rather odd while reading.  Something about a bit of rare magic..."
Harry Potter,"I'm not sure... That is, I don't recall the name... exactly.  But it got me wondering... Are there some kinds of magic you're not allowed to teach?"
Harry Potter,"Yes, well, we don't exactly see eye-to-eye, sir.  What I mean to say is, he's not like you.  He might... misunderstand."
Harry Potter,"Did you say the same to Tom Riddle, sir?  When he came asking questions."
Harry Potter,Sir --
Harry Potter,Nice.
Harry Potter,Hermione.  I think Malfoy's leaving the castle.
Harry Potter,I've seen it.  Sometimes... sometimes he just disappears off the Map.
Harry Potter,The Map is never wrong.
Harry Potter,"Divine.  Had ourselves a little late-night snack, did we?"
Harry Potter,Or twenty.
Harry Potter,"Really?  Honestly, I reckoned she was starting to annoy you."
Harry Potter,Excuse me?
Harry Potter,Well... Brilliant.
Harry Potter,Bloody well hope so.  She's been snogging you for three months.
Harry Potter,Who're you talking about?
Harry Potter,Okay.  Very funny.
Harry Potter,What the hell was that for?
Harry Potter,Okay!  Fine!  You're in love with her!  Have you ever actually met her!
Harry Potter,"Ron, these chocolates, they're -- C'mon.  I'm going to introduce you to Romilda Vane."
Harry Potter,Devastatingly handsome.
Harry Potter,Sir.  I'm sorry.  I wouldn't bother you if it weren't absolutely --
Harry Potter,"I figured this called for a more practiced hand, sir."
Harry Potter,"I'm sorry, sir.  About the other day.  Our... misunderstanding."
Harry Potter,"I mean, I'm sure you're tired of it, after all these years.  The questions.  About... Voldemort."
Harry Potter,"Yes, sir.  It's just, well, Dumbledore once said that fear of a name only increases fear of the thing itself.  It seemed sensible."
Harry Potter,Love potion.
Harry Potter,"Ron!  Ron!!!  Professor, help him!"
Harry Potter,Professor!  Do something!!
Harry Potter,He's choking!!
Harry Potter,"Breathe!  C'mon, Ron, don't be a prat.  Breathe!  BREATHE!"
Harry Potter,"How are you, Katie?"
Harry Potter,Sectumsempra!
Harry Potter,The Room of Requirement...
Harry Potter,Who showed you this?  First.
Harry Potter,What?
Harry Potter,Oh.  Yeah.
Harry Potter,Say that again.
Harry Potter,Excellent.  Really excellent.
Harry Potter,Right.  I'm going down to Hagrid's.
Harry Potter,"No.  I've got a good feeling about going to Hagrid's.  I feel like it's the place to be tonight, know what I mean?"
Harry Potter,Trust me.  I know what I'm doing. Or at least Felix does.
Harry Potter,"Sorry, sir.  I should've announced myself.  Cleared my throat. Coughed.  You probably feared I was Madam Sprout."
Harry Potter,"Just the general behavior, sir. The sneaking around.  The jumping when you saw me.  By the way, those Tentacula leaves -- they're quite valuable, aren't they?"
Harry Potter,"Personally, these plants have always kind of freaked me out."
Harry Potter,"Through the front doors, sir.  I'm off to Hagrid's, you see.  He's a very dear friend and I felt like paying him a visit.  So if you don't mind, I'll be going."
Harry Potter,Sir?
Harry Potter,"Well, then by all means come along, sir."
Harry Potter,"That would be counterproductive, sir."
Harry Potter,No idea.
Harry Potter,"A dead one, I think, sir."
Harry Potter,Not to mention the pincers.
Harry Potter,Through the front doors.
Harry Potter,Oh yeah.
Harry Potter,Do you know why I survived?  The night I got this.
Harry Potter,Because of her.  Because she sacrificed herself.  Because she refused to step aside.  Because her love was more powerful than Voldemort.
Harry Potter,"I'm not afraid of the name, Professor.  And I'm not afraid of him.  And you shouldn't be either. She didn't just die for me that night.  She died for you too.  She died for everyone who's ever woken in the middle of the night afraid a Death Eater waited on their doorstep."
Harry Potter,"Professor.  I'm going to tell you something, something others have only guessed at.  It's true.  I am the Chosen One."
Harry Potter,"Only I can kill him.  But in order to do so, I need to know what Tom Riddle asked you that night in your office all those years ago. And I need to know what you told him."
Harry Potter,"Be brave, Professor.  Be brave like my mother.  Otherwise you disgrace her.  Otherwise she died for nothing.  Otherwise, the bowl remains empty forever."
Harry Potter,Sir --
Harry Potter,"Do you mean to say he succeeded, sir?  In making a Horcrux?"
Harry Potter,Seven.  He made seven -- the most powerfully magical number.  But... what are they exactly?
Harry Potter,Tom Riddle's diary --
Harry Potter,And the ring...?
Harry Potter,... even more difficult to destroy. But if you could find them all. If you did destroy each Horcrux...
Harry Potter,"But how would you find them?  They could be hidden anywhere, couldn't they..."
Harry Potter,"It's where you've been going, isn't it, sir?  When you leave the school."
Harry Potter,"Hermione, is the Room of Requirement unplottable?"
Harry Potter,It would explain why I thought Malfoy was leaving the castle when he disappeared off the Map.
Harry Potter,He was going to the Room of Requirement.
Harry Potter,But I'm telling you.  I saw it --
Harry Potter,What if there are two?  Vanishing cabinets.
Harry Potter,I don't know...
Harry Potter,I don't need luck.  I'll be with Dumbledore.
Harry Potter,"You look the same to me, sir."
Harry Potter,"Yes, sir."
Harry Potter,My word.
Harry Potter,"Sir, I thought one couldn't Apparate within Hogwarts."
Harry Potter,"It's there, isn't it?"
Harry Potter,Sir!
Harry Potter,"You should've let me, sir."
Harry Potter,"We couldn't, perhaps, just try a Summoning Charm, sir?"
Harry Potter,Accio Horcrux!
Harry Potter,Sir... have you ever taken Felix Felicis?
Harry Potter,Professor... there are bodies in this lake.
Harry Potter,"Do you think the Horcrux is in there, sir?"
Harry Potter,"Why can't I drink it, sir?"
Harry Potter,Professor?
Harry Potter,Professor?  Can you hear me?
Harry Potter,"You... you can't stop, Professor. You've got to keep drinking.  Like you said.  Remember."
Harry Potter,"It will, sir.  It'll stop.  But only if you drink..."
Harry Potter,What?
Harry Potter,No...
Harry Potter,One more.  Just one more.  And then -- I promise... I'll do what you say.
Harry Potter,I promise.
Harry Potter,"You did it, sir.  Look --"
Harry Potter,"I'm trying, sir.  I'm --"
Harry Potter,"Don't worry, sir.  We're nearly there."
Harry Potter,"We need to get you up to the hospital, sir, to Madam Pomfrey --"
Harry Potter,All right.  Okay.
Harry Potter,"Sir, are you... praying?"
Harry Potter,Cruciatus!
Harry Potter,Incacerata!
Harry Potter,Impedimenta!
Harry Potter,"Fight!  Fight back, you coward!"
Harry Potter,Sectumsempra!
Harry Potter,Hagrid... HAGRID!
Harry Potter,Hagrid!  You alright?
Harry Potter,"Hagrid, Dumbledore --"
Harry Potter,Do you think he would've done it. Draco?
Harry Potter,"No.  He was lowering his wand.  In the end, it was Snape.  It was always Snape.  And I did nothing..."
Harry Potter,"Yeah, strange.  Only... it's not. It's a fake."
Harry Potter,Go on.  Open it.
Harry Potter,"Dunno.  But whoever they are, they have the real Horcrux.  Which means, it was a waste.  All of it."
Harry Potter,"I'm not coming back, Hermione."
Harry Potter,I have to finish what Dumbledore started. I'm not sure where that will lead me... but I'll let you and Ron konw where I am -- when I can.
Harry Potter,Yeah.  I do.  But do me a favor. When I'm around?  Keep the snogging to a minimum.
Harry Potter,"Funny, he says the same about you."
Harry Potter,You're brilliant.  You both are.
Harry Potter,I don’t know. I never realised how beautiful this place was.
Harry Potter,Time for the teary farewell.
Harry Potter,"They'll torture you.  Even Dudley. If they think you know where I'm going, they'll stop at noth--"
Harry Potter,Do you have any?  Magic?
Harry Potter,"Absolutely not.  Besides, I'm just a waste of space.  Isn't that right, Vernon?"
Harry Potter,Well... thanks.
Harry Potter,"See you, Big D."
Harry Potter,Good riddance.
Harry Potter,"I thought you were looking after the Prime Minister, Kingsley."
Harry Potter,The Trace?
Harry Potter,The real one...?
Harry Potter,No!  Absolutely not!
Harry Potter,If you think I'm going to let people risk their lives for me --
Harry Potter,This is different.  Taking that. Becoming me -- no.
Harry Potter,"Blimey, Hermione!"
Harry Potter,Yes?
Harry Potter,Here.
Harry Potter,Hagrid!  We've got to help the others!
Harry Potter,What was that?
Harry Potter,Hagrid... HAGRID...!
Harry Potter,Is no one back yet?
Harry Potter,Are you mad...?
Harry Potter,A grindylow!
Harry Potter,Who did this to him?
Harry Potter,Hedwig -- I think.  She was trying to protect me --
Harry Potter,"I trust you with my life, Hagrid. I trust everyone in this room. Understood?"
Harry Potter,No one else is going to die.  Not for me.
Harry Potter,Come with me.  Now.
Harry Potter,Wedding?
Harry Potter,I don't care about a bloody wedding -- no matter whose it is. I have to start searching for the Horcruxes.  It's the only chance we have to beat him.  And the longer we wait the stronger he gets.
Harry Potter,Yes.
Harry Potter,"Dumbledore didn't want anyone to know what it is we're doing.  If I tell you, I'd be betraying him."
Harry Potter,Maybe that's the best reason to have it.  Because of everything that's going on.
Harry Potter,"To what do we owe the pleasure, Minister?"
Harry Potter,And this would be...?
Harry Potter,What's this all about?
Harry Potter,No idea.
Harry Potter,That's it then?
Harry Potter,Excuse me?
Harry Potter,"You'll forgive me, Minister.  But it's a little hard to tell the difference these days."
Harry Potter,You mean -- But that's brilliant -- I... don't know what to say.
Harry Potter,"No, 'course not.  How are you, Luna?"
Harry Potter,"Nice to meet you, sir."
Harry Potter,Sir?  May I sit down?
Harry Potter,"I found what you wrote in the Daily Prophet very moving, sir.  I take it you knew Professor Dumbledore well?"
Harry Potter,"I never even knew he had a brother, sir."
Harry Potter,"Sir, I was wondering if you'd had much contact with him before he died."
Harry Potter,"Strange, sir?"
Harry Potter,"Could you tell me from where they'd come, sir?"
Harry Potter,Just curious.  I was... close to Professor Dumbledore.
Harry Potter,Who are you talking about?
Harry Potter,Who?
Harry Potter,"Oh, right.  Slipped my mind..."
Harry Potter,Godric's Hollow?  Bathilda Bagshot lives in Godric's Hollow?
Harry Potter,Excuse me?  You don't mean to say Dumbledore lived there too?
Harry Potter,Do you reckon everyone's alright at the wedding?  Maybe we should --
Harry Potter,Same.
Harry Potter,My rucksack.  With all my things. I left it back at the Burrow --
Harry Potter,You're joking.
Harry Potter,Down!
Harry Potter,Stupefy!
Harry Potter,"Lock the door, get the lights."
Harry Potter,This one's name is Rowle.  He was on the Astronomy Tower the night Snape killed Dumbledore.
Harry Potter,"It's better we wipe their memories.  We kill them, they'll know we were here."
Harry Potter,How is it they knew we were there?
Harry Potter,Hermione.  I appreciate the thought -- honestly.  But given that we were almost killed by a couple of Death Eaters a few minutes ago...
Harry Potter,I have an idea.
Harry Potter,Mad-Eye...?
Harry Potter,Lumos.
Harry Potter,"Yeah.  They knew her.  She wrote A History of Magic, you know."
Harry Potter,I'm thinking maybe we should go talk to her.  She still lives in Godric's Hollow.  I'm thinking maybe she could help us.
Harry Potter,To the Dark Lord.  I know I will be dead long before you read this... I have stolen the real Horcrux and intend to destroy it...
Harry Potter,Stop!  I order you!
Harry Potter,"Been spying on us, have you?"
Harry Potter,Ever seen this before?
Harry Potter,"Kreacher, I own this place. Sirius left it to me.  Which means I own you too."
Harry Potter,"That's right.  But there were two, weren't there?"
Harry Potter,Where's the other one?
Harry Potter,Answer her.
Harry Potter,How do you mean?
Harry Potter,"Where is it now?  Did someone take it, Kreacher?"
Harry Potter,"Who, Kreacher?  Who was it?"
Harry Potter,Find him.
Harry Potter,You mean... it remembers me?
Harry Potter,"When you turned this place over -- don't deny it! -- you found a locket, am I right?"
Harry Potter,Who was she?  This witch?
Harry Potter,It gets really tricky.
Harry Potter,This is completely mental.
Harry Potter,I'm nobody.
Harry Potter,Apparently so.
Harry Potter,Are those...?
Harry Potter,The Ministry must be hiring young these days.
Harry Potter,"How long did you say this batch of Polyjuice Potion would last, Hermione?"
Harry Potter,Ron.  You don't have a wife.
Harry Potter,"Look, we'll go with you --"
Harry Potter,Ron's been coming here since he was two years old.  It's us you should be worrying about.
Harry Potter,"I say if we don't locate Umbridge within the hour, we go find Ron and come back another day.  Deal?"
Harry Potter,Accio locket.
Harry Potter,"Ron, it's me."
Harry Potter,She went down to the courtrooms with Umbridge --
Harry Potter,"Arthur!  You know you're being tracked, don't you?"
Harry Potter,"No, Arthur.  It's a fact.  They're watching you."
Harry Potter,I'll tell you later.  Let's find Hermione.
Harry Potter,It's here...
Harry Potter,"You're lying.  And one mustn't tell lies, Dolores... Stupefy!"
Harry Potter,Expecto PATRONUM!
Harry Potter,Accio Dittany.
Harry Potter,Hermione.  His arm --
Harry Potter,What happened?  I thought we were going back to Grimmauld Place.
Harry Potter,Don't be stupid.
Harry Potter,What're you doing?
Harry Potter,Tent?  Where am I supposed to find --
Harry Potter,They're great.
Harry Potter,No problem.
Harry Potter,How bad is he?
Harry Potter,"Dumbledore had a theory.  He felt that the Horcruxes would not be made out of random objects.  And he felt they wouldn't be hidden randomly either.  We know of three so far.  The ring, which according to Dumbledore belonged to Tom Riddle's grandfather.  The diary, which belonged to Tom himself. And this, which -- again, according to Dumbledore -- belonged to his mother."
Harry Potter,How d'you know?
Harry Potter,"I know.  I felt it too. It's... it's like it's ticking or something, like it has a tiny metal heart, like it's --"
Harry Potter,That's why we're going to kill it.
Harry Potter,Dissendium!
Harry Potter,Expulso!
Harry Potter,We have to keep it safe until we can figure out how to destroy it.
Harry Potter,No.
Harry Potter,"It's not a candle I can blow out, Hermione.  It always burns, even if it's just a flicker.  Can you understand that?"
Harry Potter,He's found him.  Vol--
Harry Potter,You-Know-Who.  He's found Gregorovitch --
Harry Potter,Yes.  How'd you know?
Harry Potter,You-Know-Who wants something Gregorovitch once had -- dunno what.  But he's desperate to have it.  It's as if his life depends on it.
Harry Potter,Well it sets my teeth on edge. What's he expecting to hear?  Good news?
Harry Potter,And what gets you through the day?
Harry Potter,How long before he can travel?
Harry Potter,You're not doing enough.
Harry Potter,Loads.
Harry Potter,Snatchers.
Harry Potter,Good to know your enchantments work.
Harry Potter,We have to leave.  We're not safe here.
Harry Potter,Then we'll go by foot.
Harry Potter,We're all hungry.
Harry Potter,It'll be dark soon.  We need to find a place to sleep.
Harry Potter,My turn.
Harry Potter,Maybe you could tell me now.
Harry Potter,Brilliant.
Harry Potter,O-kay.
Harry Potter,With a basilisk fang.  If you tell me you've got one of those in that bloody beaded bag of yours --
Harry Potter,It only takes in that which makes it stronger...
Harry Potter,... it can destroy Horcruxes.
Harry Potter,"You're brilliant, Hermione. Truly."
Harry Potter,There's only one problem...
Harry Potter,What's the problem?
Harry Potter,"Look, don't be shy.  If you've got something to say, spit it out."
Harry Potter,I thought you knew what you signed up for.
Harry Potter,I don't understand.  What part of this isn't living up to your expectations?  Did you think we'd be staying in five-star hotels? Finding a Horcrux every other day? Did you think you'd be back to Mummy by Christmas?
Harry Potter,"I've told you everything Dumbledore told me! And in case you haven't noticed, we've found a Horcrux!"
Harry Potter,"Yeah, he would.  D'you think I haven't noticed the two of you whispering behind my back?  D'you think I haven't guessed what you were thinking?"
Harry Potter,You think I don't listen!  You think I don't know what it's like --
Harry Potter,Go then.  But leave that.
Harry Potter,Salvio Hexia... Protego Totalum...
Harry Potter,You were right.  It's like you said.  Snitches have flesh memories.  But I didn't catch my first Snitch with my hand.  I almost swallowed it.
Harry Potter,What do you reckon it means?
Harry Potter,"Luna's dad was wearing that, at Ron- At Bill and Fleur's wedding."
Harry Potter,Around his neck.  Like an amulet. I didn't think much of it at the time.  You know Luna -- she's always got some mad thing or the other she's carrying around.  I just figured it ran in the family.
Harry Potter,"Hermione, I've been thinking.  I -- I want to go to Godric's Hollow. It's where I was born, it's where my parents died --"
Harry Potter,"But it means something to him too, Hermione.  You-Know-Who nearly died there.  Wouldn't that be just the kind of place he'd hide a Horcrux?"
Harry Potter,"Godric's Hollow is the birthplace of Godric Gryffindor -- I mean, 'course it is.  Obvious, isn't it?"
Harry Potter,Tossed it at Neville once when he was snoring -- might've popped open.
Harry Potter,Hermione...
Harry Potter,No.  This is where I was born. I'm not returning as someone else.
Harry Potter,Do you think they'd be in there? My mum and dad?
Harry Potter,Is it -- ?
Harry Potter,No.
Harry Potter,"Happy Christmas, Hermione."
Harry Potter,Yeah.
Harry Potter,C'mon.
Harry Potter,We look like ordinary Muggles.
Harry Potter,Relax.  This is right.  I know it.
Harry Potter,"This is where they died, Hermione. This is where he murdered them."
Harry Potter,"You're Bathilda, aren't you?"
Harry Potter,"Hermione, she knew Dumbledore. She might have the sword. Besides, she's barely knee-high to a house-elf.  I think we can overpower her if it turns ugly."
Harry Potter,"She's gaga, remember?"
Harry Potter,Here.  Let me do that.
Harry Potter,Miss Bagshot?  Who is this man?
Harry Potter,His name.  Can you tell me his name?
Harry Potter,"This is him, Hermione.  The one I saw in Gregorovitch's wandshop. The thief.  Miss Bagshot, who is he?"
Harry Potter,She wants us to go upstairs.
Harry Potter,She wants me to go.  Alone.
Harry Potter,It's all right.  You stay here.
Harry Potter,Lumos.
Harry Potter,Yes.
Harry Potter,Yes.
Harry Potter,We got away.
Harry Potter,Are you alright?
Harry Potter,You've outdone yourself this time.
Harry Potter,Where are they?
Harry Potter,"Who is he, Hermione?  The thief? Did Dumbledore know him?"
Harry Potter,Well?
Harry Potter,"Tell me, Hermione.  Who is he?"
Harry Potter,"Hermione, I don't need to have read A History of Magic to know who Gellert Grindelwald is."
Harry Potter,"Get to the hard part, Hermione."
Harry Potter,And Dumbledore believed in it?
Harry Potter,'For the Greater Good.'  What does that mean?
Harry Potter,"We're young, Hermione.  And here we are, risking our lives to fight against the very thing Dumbledore supported."
Harry Potter,Where's my wand?  I'll take the watch.
Harry Potter,Hermione.  Where's my wand?
Harry Potter,It's done.
Harry Potter,It's done.
Harry Potter,Leave me yours.  You get back in the warm.  And give me that.
Harry Potter,No...
Harry Potter,Lumos! Accio Sword.
Harry Potter,Diffindo.
Harry Potter,Hermione...
Harry Potter,It was you!
Harry Potter,And the doe.  That was you as well.
Harry Potter,My Patronus is a stag.
Harry Potter,You didn't see anyone else?
Harry Potter,"But I reckon whoever cast the doe, put the sword in that pool hoping we'd find it."
Harry Potter,See that?  It knows.  It's afraid. Do it.
Harry Potter,All the more reason.
Harry Potter,Then why are you here?  Why did you come back?
Harry Potter,"I'll have to speak to it in order for it to open.  When it does, don't hesitate.  I don't know what's in here, but it'll put up a fight.  The bit of Riddle that was in his diary tried to kill me."
Harry Potter,On three.  One.  Two.  Three. Take me inside...
Harry Potter,"Stab it, Ron.  Now."
Harry Potter,Don't listen to it.
Harry Potter,Ron.  Don't listen to it!
Harry Potter,Ron.  Stab it!
Harry Potter,"We were better without you, happier without you."
Harry Potter,Ron.  It lies!  Stab it!  STAB IT!
Harry Potter,Your mother confessed that she would have preferred me as a son...
Harry Potter,"Do it, Ron!  Kill it!"
Harry Potter,"After you left, she cried for a week.  She's like my sister."
Harry Potter,You've sort of made up for it tonight.  Getting the sword. Finishing off the Horcrux.
Harry Potter,That too.
Harry Potter,Hermione!
Harry Potter,Fine.  Actually... more than fine.
Harry Potter,Um... I don't know?
Harry Potter,It's a long story.
Harry Potter,It's a long story.
Harry Potter,Exactly how did you find us?
Harry Potter,It?
Harry Potter,Knew what?
Harry Potter,Keep talking 'bout that little ball of light touching your heart -- she'll come round.
Harry Potter,Yeah...
Harry Potter,Engorgio.
Harry Potter,Reducio!
Harry Potter,Nothing.
Harry Potter,Sorry?
Harry Potter,Jesus.  It was there too.
Harry Potter,Outside Gregorovitch's wand shop. on the alley wall...
Harry Potter,"Not still mad at him, are you?"
Harry Potter,Luna.
Harry Potter,"Hello, Mr. Lovegood.  I'm Harry Potter.  We met a few months back?"
Harry Potter,"Would it be okay if we came in? It won't take long, sir.  I promise."
Harry Potter,"Well, sir, we need some help."
Harry Potter,What's going on here?
Harry Potter,"Well, sir, it's about something you were wearing around your neck at the wedding.  A symbol..."
Harry Potter,"Yes!  Exactly.  What we wondered, sir, is, well, what is it?"
Harry Potter,The what?
Harry Potter,No.
Harry Potter,Sorry... I still don't really understand...
Harry Potter,Which one would you choose if you could?  Of the Deathly Hallows?
Harry Potter,The Stone.
Harry Potter,"Well, you could bring people back, couldn't you?  Mad-Eye. Dumbledore.  Sirius.  Anybody."
Harry Potter,But I have one.  The Invisibility Cloak my father left me.
Harry Potter,"And I think I've actually held the Resurrection Stone in my hands, that night in Dumbledore's office when he showed me the ring he'd destroyed, the Horcrux.  It had a symbol on it.  Now I think it was the mark of the Hallows."
Harry Potter,Sir?
Harry Potter,"Who took her, sir?"
Harry Potter,They've kidnapped Luna because he supported me.  He was just desperate.
Harry Potter,They exist.  The Hallows.
Harry Potter,"But he only wants the one, the last one.  That's what he's been looking for."
Harry Potter,"He knows where it is, You-Know- Who.  He'll have it by the end of the night.  He's found the Elder Wand."
Harry Potter,Dudely.  Vernon Dudley.
Harry Potter,The list is wrong.  I told you who I am --
Harry Potter,What did you put on me?
Harry Potter,How long will it last?
Harry Potter,Luna?
Harry Potter,Help us.
Harry Potter,Dobby? What are you doing here?
Harry Potter,You can Apparate in and out of this room? Could you take us with you?
Harry Potter,"Dobby, I want you to take Luna and Mr. Ollivander--"
Harry Potter,Stupefy.
Harry Potter,Stupefy!
Harry Potter,Hermione. You're all right. We're safe. We're all safe.
Harry Potter,"Dobby. Dobby. No, just-- Hold on. Hold on. Look, just hold on, okay? We'll fix you. Hermione will have something. In your bag. Hermione? Hermione? What is it? Help me."
Harry Potter,I want to bury him. Properly. Without magic.
Harry Potter,I need to talk to the goblin.
Harry Potter,How are you?
Harry Potter,You probably don't remember --
Harry Potter,Yes.
Harry Potter,Why did you leave Gringotts?
Harry Potter,"Alone, yes. With you, no."
Harry Potter,It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?
Harry Potter,The sword presented itself to us in a moment of need. We didn't steal it.
Harry Potter,And she never suspected?
Harry Potter,And in Madam Lestrange's vault as well?
Harry Potter,Then what? The goblin twists the curl at his chin... then his eyes
Harry Potter,"She was terrified when she thought we'd been in there. She kept asking you what else we'd taken. I'd bet anything there's a Horcrux there. If we find it, we can kill it. And if we kill it, we're one step closer to killing him."
Harry Potter,I'm still working on that part.
Harry Potter,"Mr. Ollivander, I need to ask you a few questions."
Harry Potter,"Can you identify these, sir?"
Harry Potter,And this?
Harry Potter,Was? Isn't it still?
Harry Potter,"What do you know about the Deathly Hallows, sir?"
Harry Potter,"But you, sir? Do you believe they exist?"
Harry Potter,You're lying. You know one exists and you told him about it. You told him about the Elder Wand and where to go looking for it.
Harry Potter,"He has found it, sir."
Harry Potter,"That's all, sir. We'll leave you to get some rest now."
Harry Potter,"Then I guess I'll just have to kill him before he finds me, sir."
Harry Potter,I reckon you should take this then.
Harry Potter,"If I can hold it, you can."
Harry Potter,I'll know. I can't explain. It's like...
Harry Potter,No. I just know. When one's near.
Harry Potter,In the morning.
Harry Potter,He'll be leaving too.
Harry Potter,"Yeah. Funny. Listen, Luna, about your father, I don't want you to think I --"
Harry Potter,Hogwarts?
Harry Potter,"It's not the place you left, you"
Harry Potter,Wouldn't know you if I didn't know you.
Harry Potter,"Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it."
Harry Potter,Something like that. I don't know. He died before I ever got to use it. The thing is...
Harry Potter,"You'll think I'm mental, but more than once, when I've looked into it -- I think I've seen Dumbledore."
Harry Potter,"You can give that to Hermione to hold, all right, Griphook?"
Harry Potter,C'mon. Let's do it.
Harry Potter,Imperio.
Harry Potter,How long before they come after us?
Harry Potter,"What is that, Griphook?"
Harry Potter,Griphook! What is that!
Harry Potter,Well done. Hey.
Harry Potter,Lumos !
Harry Potter,That's it. Up there.
Harry Potter,Give me the sword! The real one.
Harry Potter,"We have a deal, Griphook."
